CODGEO,Commune,nombre_habitants,latitude,longitude,somme_faits
97101,Les Abymes,59000,16.2715,-61.5054,3447
97101,Les Abymes,59000,16.2715,-61.5054,3447
97101,Les Abymes,59000,16.2715,-61.5054,3447
97101,Les Abymes,59000,16.2715,-61.5054,3447
97101,Les Abymes,59000,16.2715,-61.5054,3447
97101,Les Abymes,59000,16.2715,-61.5054,3447
97101,Les Abymes,59000,16.2715,-61.5054,3447
97101,Les Abymes,59000,16.2715,-61.5054,3447
97101,Les Abymes,59000,16.2715,-61.5054,3447
97101,Les Abymes,59000,16.2715,-61.5054,3447
97101,Les Abymes,59000,16.2715,-61.5054,3447
97101,Les Abymes,59000,16.2715,-61.5054,3447
97101,Les Abymes,59000,16.2715,-61.5054,3447
97101,Les Abymes,59000,16.2715,-61.5054,3447
97102,Anse-Bertrand,4541,16.4667,-61.5167,129
97102,Anse-Bertrand,4541,16.4667,-61.5167,129
97102,Anse-Bertrand,4541,16.4667,-61.5167,129
97102,Anse-Bertrand,4541,16.4667,-61.5167,129
97102,Anse-Bertrand,4541,16.4667,-61.5167,129
97102,Anse-Bertrand,4541,16.4667,-61.5167,129
97102,Anse-Bertrand,4541,16.4667,-61.5167,129
97103,Baie-Mahault,30400,16.2667,-61.5833,1655
97103,Baie-Mahault,30400,16.2667,-61.5833,1655
97103,Baie-Mahault,30400,16.2667,-61.5833,1655
97103,Baie-Mahault,30400,16.2667,-61.5833,1655
97103,Baie-Mahault,30400,16.2667,-61.5833,1655
97103,Baie-Mahault,30400,16.2667,-61.5833,1655
97103,Baie-Mahault,30400,16.2667,-61.5833,1655
97103,Baie-Mahault,30400,16.2667,-61.5833,1655
97103,Baie-Mahault,30400,16.2667,-61.5833,1655
97103,Baie-Mahault,30400,16.2667,-61.5833,1655
97103,Baie-Mahault,30400,16.2667,-61.5833,1655
97103,Baie-Mahault,30400,16.2667,-61.5833,1655
97103,Baie-Mahault,30400,16.2667,-61.5833,1655
97104,Baillif,5035,16.01667,-61.75,179
97104,Baillif,5035,16.01667,-61.75,179
97104,Baillif,5035,16.01667,-61.75,179
97104,Baillif,5035,16.01667,-61.75,179
97104,Baillif,5035,16.01667,-61.75,179
97104,Baillif,5035,16.01667,-61.75,179
97104,Baillif,5035,16.01667,-61.75,179
97104,Baillif,5035,16.01667,-61.75,179
97105,Basse-Terre,10700,15.9985,-61.7243,796
97105,Basse-Terre,10700,15.9985,-61.7243,796
97105,Basse-Terre,10700,15.9985,-61.7243,796
97105,Basse-Terre,10700,15.9985,-61.7243,796
97105,Basse-Terre,10700,15.9985,-61.7243,796
97105,Basse-Terre,10700,15.9985,-61.7243,796
97105,Basse-Terre,10700,15.9985,-61.7243,796
97105,Basse-Terre,10700,15.9985,-61.7243,796
97105,Basse-Terre,10700,15.9985,-61.7243,796
97105,Basse-Terre,10700,15.9985,-61.7243,796
97105,Basse-Terre,10700,15.9985,-61.7243,796
97105,Basse-Terre,10700,15.9985,-61.7243,796
97105,Basse-Terre,10700,15.9985,-61.7243,796
97105,Basse-Terre,10700,15.9985,-61.7243,796
97106,Bouillante,7600,16.1167,-61.7667,216
97106,Bouillante,7600,16.1167,-61.7667,216
97106,Bouillante,7600,16.1167,-61.7667,216
97106,Bouillante,7600,16.1167,-61.7667,216
97106,Bouillante,7600,16.1167,-61.7667,216
97106,Bouillante,7600,16.1167,-61.7667,216
97106,Bouillante,7600,16.1167,-61.7667,216
97106,Bouillante,7600,16.1167,-61.7667,216
97107,Capesterre-Belle-Eau,19000,16.0494,-61.5671,634
97107,Capesterre-Belle-Eau,19000,16.0494,-61.5671,634
97107,Capesterre-Belle-Eau,19000,16.0494,-61.5671,634
97107,Capesterre-Belle-Eau,19000,16.0494,-61.5671,634
97107,Capesterre-Belle-Eau,19000,16.0494,-61.5671,634
97107,Capesterre-Belle-Eau,19000,16.0494,-61.5671,634
97107,Capesterre-Belle-Eau,19000,16.0494,-61.5671,634
97107,Capesterre-Belle-Eau,19000,16.0494,-61.5671,634
97107,Capesterre-Belle-Eau,19000,16.0494,-61.5671,634
97107,Capesterre-Belle-Eau,19000,16.0494,-61.5671,634
97107,Capesterre-Belle-Eau,19000,16.0494,-61.5671,634
97108,Capesterre-de-Marie-Galante,3246,15.9001,-61.2555,44
97108,Capesterre-de-Marie-Galante,3246,15.9001,-61.2555,44
97108,Capesterre-de-Marie-Galante,3246,15.9001,-61.2555,44
97108,Capesterre-de-Marie-Galante,3246,15.9001,-61.2555,44
97108,Capesterre-de-Marie-Galante,3246,15.9001,-61.2555,44
97108,Capesterre-de-Marie-Galante,3246,15.9001,-61.2555,44
97109,Gourbeyre,7771,15.9929,-61.7062,197
97109,Gourbeyre,7771,15.9929,-61.7062,197
97109,Gourbeyre,7771,15.9929,-61.7062,197
97109,Gourbeyre,7771,15.9929,-61.7062,197
97109,Gourbeyre,7771,15.9929,-61.7062,197
97109,Gourbeyre,7771,15.9929,-61.7062,197
97109,Gourbeyre,7771,15.9929,-61.7062,197
97109,Gourbeyre,7771,15.9929,-61.7062,197
97109,Gourbeyre,7771,15.9929,-61.7062,197
97110,La Désirade,1474,16.3111,-61.0761,46
97110,La Désirade,1474,16.3111,-61.0761,46
97110,La Désirade,1474,16.3111,-61.0761,46
97110,La Désirade,1474,16.3111,-61.0761,46
97110,La Désirade,1474,16.3111,-61.0761,46
97111,Deshaies,4752,16.3082,-61.7917,146
97111,Deshaies,4752,16.3082,-61.7917,146
97111,Deshaies,4752,16.3082,-61.7917,146
97111,Deshaies,4752,16.3082,-61.7917,146
97111,Deshaies,4752,16.3082,-61.7917,146
97111,Deshaies,4752,16.3082,-61.7917,146
97111,Deshaies,4752,16.3082,-61.7917,146
97111,Deshaies,4752,16.3082,-61.7917,146
97112,Grand-Bourg,5522,15.8833,-61.3167,235
97112,Grand-Bourg,5522,15.8833,-61.3167,235
97112,Grand-Bourg,5522,15.8833,-61.3167,235
97112,Grand-Bourg,5522,15.8833,-61.3167,235
97112,Grand-Bourg,5522,15.8833,-61.3167,235
97112,Grand-Bourg,5522,15.8833,-61.3167,235
97112,Grand-Bourg,5522,15.8833,-61.3167,235
97112,Grand-Bourg,5522,15.8833,-61.3167,235
97112,Grand-Bourg,5522,15.8833,-61.3167,235
97113,Le Gosier,27800,16.2084,-61.4916,1618
97113,Le Gosier,27800,16.2084,-61.4916,1618
97113,Le Gosier,27800,16.2084,-61.4916,1618
97113,Le Gosier,27800,16.2084,-61.4916,1618
97113,Le Gosier,27800,16.2084,-61.4916,1618
